"BehaviorSpace results (NetLogo 6.0.4)"
"VIA_with_my_additions.nlogo"
"value-iteration-experiments"
"01/04/2023 12:30:35:736 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","black-reward","num-transitions-per-experiment","gamma","red-reward","teleport-reward","num-white-patches","blue-reward","epsilon","p","num-red-patches","num-teleport-pairs","q","num-experiments","[step]","table:get u (list 0 0 0)","total-cumulative-reward / no-expers"
"166","-1","1000","0.85","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-6.507978686484817","-6.666666666666746"
"167","-1","1000","0.85","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-6.623425695629526","-6.666666666666746"
"168","-1","1000","0.85","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-6.6577745633720316","-6.6579544588174935"
"169","-1","1000","0.85","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-6.657867177018935","-6.657773077493259"
"170","-1","1000","0.85","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-6.657865398055402","-6.658377391908981"
"171","-1","1000","0.9","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-3.439","-9.999999999999998"
"172","-1","1000","0.9","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-3.439","-9.999999999999998"
"173","-1","1000","0.9","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-4.0951","-9.999999999999998"
"174","-1","1000","0.9","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-4.68559","-9.999999999999998"
"175","-1","1000","0.9","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-9.656631617970751","-9.999999999999998"
"176","-1","1000","0.9","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-9.78132666147326","-9.791222025052805"
"177","-1","1000","0.9","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-9.796690690244954","-9.792308761025497"
"178","-1","1000","0.9","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-9.795337554521035","-9.796759135717716"
"179","-1","1000","0.9","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-9.793531561853243","-9.796606830264242"
"180","-1","1000","0.9","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-9.793530354804188","-9.791332550341915"
"181","-1","1000","0.95","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-5.2981621875","-19.999999999999996"
"182","-1","1000","0.95","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-5.2981621875","-19.999999999999996"
"183","-1","1000","0.95","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-11.637593295616448","-19.999999999999996"
"184","-1","1000","0.95","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-15.243462294893341","-19.999999999999996"
"185","-1","1000","0.95","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-15.737960467202889","-15.59618642093837"
"186","-1","1000","0.95","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-15.690244245152707","-15.640590336938159"
"187","-1","1000","0.95","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-15.643999477607434","-15.64249946812483"
"188","-1","1000","0.95","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-15.6363696754222","-15.687242497023536"
"189","-1","1000","0.95","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-15.635008954655197","-15.70775692255272"
"190","-1","1000","0.95","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-15.6350074264324","-15.639937545400795"
